Sentence,Sentiment,Processed_Sentence,Original_Length,Processed_Length,Length_Reduction
"Notable gainers among liquid option names this morning include $STX (+7.0%), $NEM (+4.6%), $WDC (+4.2%), $X (+4.1%), and $GME (+3.4%),",positive,"notable gainers among liquid option names morning include $stx (+7.0%), $nem (+4.6%), $wdc (+4.2%), $x (+4.1%), $gme (+3.4%),",134,125,0.06716417910447761
"In China , Finnish Kone that provides elevators , escalators , and solutions for modernisation and maintenance will build 342 escalators that will be installed in a high-speed railway section between Beijing and Shanghai in a 1.5 years ' time .",positive,"china , finnish kone provides elevators , escalators , solutions modernisation maintenance build 342 escalators installed high-speed railway section beijing shanghai 1.5 years ' time .",244,184,0.2459016393442623
"A Flurry Analytics spokesperson said that , as it was only measuring Windows Phone 7 data for some weeks , the firm double-checked the data to make sure the 66 per cent rise was not an aberration .",neutral,"flurry analytics spokesperson said , measuring windows phone 7 data weeks , firm double-checked data make sure 66 per cent POSITIVE_MOVE aberration .",197,149,0.2436548223350254
"The reorganisation will be carried out by transferring HKScan Corporation 's production-related property , plant and equipment in Finland as well as its holdings in subsidiaries and associates to HKScan Finland Oy , a holding company wholly owned by HKScan Corporation .",neutral,"reorganisation carried transferring hkscan corporation 's production-related property , plant equipment finland well holdings subsidiaries associates hkscan finland oy , holding company wholly owned hkscan corporation .",270,219,0.18888888888888888
"The composite body is coated with a hard coating layer produced by thermal spraying , and the coating is ground . ''",neutral,"composite body coated hard coating layer produced thermal spraying , coating ground . ''",116,88,0.2413793103448276
"According to a report by Neomarkka , Kuitu Finland 's customers are interested in buying the company 's products when it restarts production .",positive,"according report neomarkka , kuitu finland 's customers interested buying company 's products restarts production .",142,115,0.19014084507042253
Net sales grew in the period to  x20ac 402 million $ 585US million from  x20ac 401 million in 2006 .,positive,net sales grew period x20ac 402 million $ 585us million x20ac 401 million 2006 .,100,80,0.2
The total value of the deliveries is some EUR65m .,neutral,total value deliveries eur65m .,50,31,0.38
"VDW combined with LXE devices enhances productivity , enabling workers to use a single device to perform voice , scanning and keyboard functions .",positive,"vdw combined lxe devices enhances productivity , enabling workers use single device perform voice , scanning keyboard functions .",146,129,0.11643835616438356
Atria will also buy the shares of Kauhajoen Teurastamokiinteistot Oy (Kauhajoki slaughterhouse property)from Itikka Co-operative .,neutral,atria also BUY_SIGNAL kauhajoen teurastamokiinteistot oy (kauhajoki slaughterhouse property)from itikka co-operative .,130,118,0.09230769230769231
"BPI Says Caixabank, Isabel dos Santos Reach Agreement Over Angola Exposure",positive,"bpi says caixabank, isabel dos santos reach agreement angola exposure",74,69,0.06756756756756757
"Finnair PLC carried a record 8.8 million passengers in 2006 , an increase of 3.5 percent on the previous year , the Finnish national carrier reported Tuesday .",positive,"finnair plc carried record 8.8 million passengers 2006 , increase 3.5 percent previous year , finnish national carrier reported tuesday .",159,137,0.13836477987421383
"After the transaction , M-real will own 30 % in Metsa-Botnia and UPM -- 17 % .",neutral,"transaction , m-real 30 % metsa-botnia upm -- 17 % .",78,52,0.3333333333333333
Sanoma Magazines ' net sales are estimated to grow in 2006 .,positive,sanoma magazines ' net sales estimated grow 2006 .,60,50,0.16666666666666666
Financing of the project will come mainly from China .,neutral,financing project come mainly china .,54,37,0.3148148148148148
"Cablevision Systems Corp. CVC Their Madison Square Garden division owns and operates the New York Knickerbockers basketball team ; they also own the Madison Square Garden Arena , the New York Rangers hockey team , the New York Liberty women 's basketball team , and the Hartford Wolf Pack hockey team .",neutral,"cablevision systems corp. cvc madison square garden division owns operates new york knickerbockers basketball team ; also madison square garden arena , new york rangers hockey team , new york liberty women 's basketball team , hartford wolf pack hockey team .",302,259,0.1423841059602649
The online ice chart shows no ice in the area of Estonia 's sea ports on the coast of the Gulf of Finland .,neutral,online ice chart shows ice area estonia 's sea ports coast gulf finland .,107,73,0.3177570093457944
"Sampo Housing Loan Bank , a unit of Finland 's Sampo Bank , has priced its EUR1bn ( USD1 .3 bn ) bond at 99.889 % , Reuters reported .",neutral,"sampo housing loan bank , unit finland 's sampo bank , priced eur1bn ( usd1 .3 bn ) bond 99.889 % , reuters reported .",134,118,0.11940298507462686
No planned closing date was provided .,neutral,planned closing date provided .,38,31,0.18421052631578946
Rautaruukki Corporation Stock exchange release 3 December 2009 at 12 noon Ruukki 's construction and engineering divisions are to further improve and adjust their operations in Finland .,positive,rautaruukki corporation exchange release 3 december 2009 12 noon ruukki 's construction engineering divisions improve adjust operations finland .,186,145,0.22043010752688172
"Lee & Man Paper and Metso have a long and prosperous co-operation , a good example of which are the Changshu and Hongmei kraftliner machines delivered earlier .",positive,"lee & man paper metso BUY_SIGNAL prosperous co-operation , good example changshu hongmei kraftliner machines delivered earlier .",160,128,0.2
"2010 16 July 2010 - Finnish steel maker Rautaruukki Oyj HEL : RTRKS , or Ruukki , said today it turned to a net profit of EUR20m in the second quarter of 2010 from a net loss of EUR94m in the corresponding period last year .",positive,"2010 16 july 2010 - finnish steel maker rautaruukki oyj hel : rtrks , ruukki , said turned net profit eur20m second quarter 2010 net loss eur94m corresponding period last year .",224,177,0.20982142857142858
"The sale will allow Campofrio to focus on its recently announced takeover of Groupe Smithfield Holdings , the European unit of Smithfield Foods Inc. ( SFD ) of the U.S.",neutral,"sale allow campofrio focus recently announced takeover groupe smithfield holdings , european unit smithfield foods inc. ( sfd ) u.s.",168,132,0.21428571428571427
AB InBev to sell more SAB assets as seeks EU deal approval,neutral,ab inbev SELL_SIGNAL sab assets seeks eu deal approval,58,54,0.06896551724137931
Friends Life lifts profits 38% and hikes divi ahead of proposed Aviva takeover,positive,friends life lifts profits 38% hikes divi ahead proposed aviva takeover,78,71,0.08974358974358974
$MOS looking good here at $58.65. Calls are active in this month and weekly,positive,$mos looking good $58.65. BUY_SIGNAL active month weekly,75,56,0.25333333333333335
Doubts grow over GlaxoSmithKline's $6 bln capital return plan,negative,doubts grow glaxosmithkline's $6 bln capital return plan,61,56,0.08196721311475409
The Finnish textiles and clothing company Marimekko Corporation ( OMX Helsinki : MMO1V ) reported on Wednesday ( 5 November ) an operating profit of EUR8 .1 m on net sales of EUR59m for the period from January to September 2008 .,neutral,finnish textiles clothing company marimekko corporation ( omx helsinki : mmo1v ) reported wednesday ( 5 november ) operating profit eur8 .1 net sales eur59m period january september 2008 .,229,188,0.17903930131004367
Nokia has inaugurated its manufacturing plant near Chennai on 11 Mar 2006 .,neutral,nokia inaugurated manufacturing plant near chennai 11 mar 2006 .,75,64,0.14666666666666667
Nordea Bank Estonia is part of the largest financial group in the Nordic countries .,neutral,nordea bank estonia part largest financial group nordic countries .,84,67,0.20238095238095238
The name of the newspaper publishing and printing division Sanoma will be changed to Sanoma News .,neutral,name newspaper publishing printing division sanoma changed sanoma news .,98,72,0.2653061224489796
"Metso is a global supplier of sustainable technology and services for mining , construction , power generation , automation , recycling and the pulp and paper industries .",neutral,"metso global supplier sustainable technology services mining , construction , power generation , automation , recycling pulp paper industries .",171,143,0.16374269005847952
"However , this increases signaling traffic which wastes network resources and allows fewer smartphones to connect .",negative,"however , increases signaling traffic wastes network resources allows fewer smartphones connect .",115,97,0.1565217391304348
"Royal Mail 'breached competition law' over delivery service changes, Ofcom claims",negative,"royal mail 'breached competition law' delivery service changes, ofcom claims",81,76,0.06172839506172839
$BBRY bye bye Sammy. Hello BB. Sounds like we'll see some green tomorrow.,positive,$bbry bye bye sammy. hello bb. sounds like see POSITIVE_MOVE tomorrow.,73,70,0.0410958904109589
Kemira 's partner in the project is St. Petersburg Water Works .,neutral,kemira 's partner project st. petersburg water works .,64,54,0.15625
"LONDON ( AFX ) - Intertek Group PLC , a testing and inspection company , said its commercial and electrical division has bought Finland-based company Natlabs Oy from Etteplan Oyj for 1.3 mln eur in cash .",neutral,"london ( afx ) - intertek group plc , testing inspection company , said commercial electrical division bought finland-based company natlabs oy etteplan oyj 1.3 mln eur cash .",204,174,0.14705882352941177
"Okmetic 's products are based on high-tech expertise that generates added value for customers , innovative product development and an extremely efficient production process .",positive,"okmetic 's products based high-tech expertise generates added value customers , innovative product development extremely efficient production process .",174,151,0.13218390804597702
"The company operates a U.S. division in Lisle , Ill. .",neutral,"company operates u.s. division lisle , ill. .",54,45,0.16666666666666666
"This will be done domestically and in neighboring markets , both organically and through acquisitions .",neutral,"done domestically neighboring markets , organically acquisitions .",103,66,0.3592233009708738
`` We could be there .,neutral,`` could .,22,10,0.5454545454545454
Aspo has also investigated the sales opportunities of Kaukomarkkinat 's electronics business .,neutral,aspo also investigated sales opportunities kaukomarkkinat 's electronics business .,94,83,0.11702127659574468
"FinancialWire tm is a fully independent , proprietary news wire service .",neutral,"financialwire tm fully independent , proprietary news wire service .",73,68,0.0684931506849315
"The company is in charge of all natural gas storage activities in France , Great Britain , and Germany .",neutral,"company charge natural gas storage activities france , great britain , germany .",104,80,0.23076923076923078
Johnson Matthey revs up on clean air drive,positive,johnson matthey revs POSITIVE_MOVE clean air drive,42,50,-0.19047619047619047
"Tesla Motors recalls 2,700 Model X SUVs $TSLA https://t.co/xDGrAExkKz",negative,"tesla motors recalls 2,700 model x suvs $tsla",69,45,0.34782608695652173
"Before FKI , John Jiang has worked in several general manager or senior business consultant positions for international companies in China .",neutral,"fki , john jiang worked several general manager senior business consultant positions international companies china .",140,116,0.17142857142857143
Surprising to see $JWN and $SKS sales numbers still holding up so well. I guess the high end might not be a concern after all.,positive,surprising see $jwn $sks sales numbers still holding POSITIVE_MOVE well. guess high end might concern all.,126,106,0.15873015873015872
The availability of the Internet services is highlighted in the service offer of Kesko 's K-Group stores .,neutral,availability internet services highlighted service offer kesko 's k-group stores .,106,82,0.22641509433962265
"Bids or offers include at least 1,000 shares and the value of the shares must correspond to at least EUR4 ,000 .",neutral,"bids offers include least 1,000 value must correspond least eur4 ,000 .",112,71,0.36607142857142855
"AP: Caterpillar posts 60 percent jump in 4Q profit on steep global sales increase, tops Wall St. view > $CAT",positive,"ap: caterpillar posts 60 percent jump 4q profit steep global sales increase, tops wall st. view > $cat",108,102,0.05555555555555555
Aspo 's Group structure and business operations are continually developed without any predefined schedules .,neutral,aspo 's group structure business operations continually developed without predefined schedules .,108,96,0.1111111111111111
The acquisition price was not disclosed .,neutral,acquisition disclosed .,41,23,0.43902439024390244
$DCTH Near HOD,positive,$dcth near hod,14,14,0.0
Terms of the acquisition were not disclosed .,neutral,terms acquisition disclosed .,45,29,0.35555555555555557
International operations accounted for over 80 % of net sales .,neutral,international operations accounted 80 % net sales .,63,51,0.19047619047619047
London Stock Exchange Shareholders Approve Merger With Deutsche BÃ¶rse,positive,london exchange shareholders approve merger deutsche bã¶rse,70,59,0.15714285714285714
"In providing managed services , Nokia takes responsibility for building , operating and transferring as well as optimising the Indosat 3G network .",neutral,"providing managed services , nokia takes responsibility building , operating transferring well optimising indosat 3g network .",147,126,0.14285714285714285
"The Brazilian unit of Finnish security solutions provider F-Secure signed up 1,500 new clients last year , online news source Reseller Web quoted the division 's commercial director , Vladimir Brand+úo , as saying .",positive,"brazilian unit finnish security solutions provider f-secure signed POSITIVE_MOVE 1,500 new clients last year , online news source reseller web quoted division 's commercial director , vladimir brand+úo , saying .",215,212,0.013953488372093023
"The company has established a 3G base station at about 17,000 feet at the foot of Mount Everest that will enable mountain climbers at the 29,035-foot summit to surf the Internet and even send videos of their exploits .",positive,"company established 3g base station 17,000 feet foot mount everest enable mountain climbers 29,035-foot summit surf internet even send videos exploits .",218,152,0.30275229357798167
The sellers were EOSS Innovationsmanagement and a group of private individuals .,neutral,sellers eoss innovationsmanagement group private individuals .,80,62,0.225
"Among other industrial stocks , Metso added 0.53 pct to 40.04 eur , Wartsila B was down 0.77 pct at 47.87 eur and Rautaruukki K was 1.08 pct lower at 37.56 eur .",neutral,"among industrial , metso added 0.53 pct 40.04 eur , wartsila b NEGATIVE_MOVE 0.77 pct 47.87 eur rautaruukki k 1.08 pct lower 37.56 eur .",161,136,0.15527950310559005
Raffles Equities Ltd became a substantial holder in Archer Exploration Ltd on January 12 with 11.7 million shares ( 18.2 pc ) .,neutral,raffles equities ltd became substantial holder archer exploration ltd january 12 11.7 million ( 18.2 pc ) .,127,107,0.15748031496062992
$INTC finally some nice downside move... looking for the 31 handle to break,negative,$intc finally nice downside move... looking 31 handle break,75,59,0.21333333333333335
REFILE-Aviva Investors to move 34 bln euros in assets from AXA fund arm,negative,refile-aviva investors move 34 bln euros assets axa fund arm,71,60,0.15492957746478872
Royal Mail turnaround proving expensive in tough UK market,neutral,royal mail turnaround proving expensive tough uk,58,48,0.1724137931034483
"The fish content of the nuggets is 85 % , and the fish comes from Canada and Finland .",neutral,"fish content nuggets 85 % , fish comes canada finland .",86,55,0.36046511627906974
A filter is used to pre-process packets to determine if they need to be further processed by the processor of the network device .,neutral,filter used pre-process packets determine need processed processor network device .,130,83,0.36153846153846153
"$RUSS Don't catch falling knives, but I think an entry is coming soon on this",positive,"$russ catch NEGATIVE_MOVE knives, think entry coming soon",77,57,0.2597402597402597
Negotiations with representatives of the personnel regarding the restructuring process have now been ended .,neutral,negotiations representatives personnel regarding restructuring process ended .,108,78,0.2777777777777778
The company said that it has agreed to a EUR160m unsecured credit line from lenders .,neutral,company said agreed eur160m unsecured credit line lenders .,85,59,0.3058823529411765
Short more $FAZ for all who don't know that means markets will tank now :-p,negative,SELL_SIGNAL $faz know means markets tank :-p,75,44,0.41333333333333333
Stakes High for AstraZeneca Heart Drug Facing Tough Competition,negative,stakes high astrazeneca heart drug facing tough competition,63,59,0.06349206349206349
"Taking a cue from the playbook of the East Dillon Lions , we 've created a special team of heavy-hitting style players , such as boot-cut jeans , tummy tops and , of course , cowboy boots .",neutral,"taking cue playbook east dillon lions , 've created special team heavy-hitting style players , boot-cut jeans , tummy tops , course , cowboy boots .",189,148,0.21693121693121692
Looking for a strong bounce $SPY -- Lunchtime rally coming. $DIA $IWM $QQQ $AA $FB,positive,looking strong bounce $spy -- lunchtime rally coming. $dia $iwm $qqq $aa $fb,82,76,0.07317073170731707
Construction is expected to be completed in the summer of 2011 .,neutral,construction expected completed summer 2011 .,64,45,0.296875
The volume of investments in the two phases of the project is estimated at USD 300mn ( EUR 215.03 mn ) .,neutral,volume investments two phases project estimated usd 300mn ( eur 215.03 mn ) .,104,77,0.25961538461538464
"Favourable currency rates also contributed to higher net sales , '' CEO Kari Kauniskangas said .",positive,"favourable currency rates also contributed higher net sales , '' ceo kari kauniskangas said .",96,93,0.03125
$FB & $TSLA cracking lower early. $short #correction #stocks,negative,$fb & $tsla cracking lower early. TICKER _SIGNAL HASHTAG HASHTAG,60,64,-0.06666666666666667
"For Telenor , the three and a half year contract is worth an estimated 12.6 m. YIT has chosen Telenor and Elisa as its principal suppliers of ICT solutions in Norway , Sweden , Denmark and Finland .",positive,"telenor , three half year contract worth estimated 12.6 m. yit chosen telenor elisa principal suppliers ict solutions norway , sweden , denmark finland .",198,153,0.22727272727272727
"Currently , YIT builds a housing estate Zapadnye Vorota 26,000 square metres in the city and a house 9,910 square metres , which will be completed at the end of 2009 .",neutral,"currently , yit builds housing estate zapadnye vorota 26,000 square metres city house 9,910 square metres , completed end 2009 .",167,128,0.23353293413173654
Hargreaves Lansdown bucks weak markets to see assets rise 2.6 percent,positive,hargreaves lansdown bucks weak markets see assets POSITIVE_MOVE 2.6 percent,69,75,-0.08695652173913043
Neither of the companies use genetically engineered soy at the moment .,neutral,neither companies use genetically engineered soy moment .,71,57,0.19718309859154928
"European stocks hover near 3-week low, Dialog and BHP slump",negative,"european hover near 3-week low, dialog bhp slump",59,48,0.1864406779661017
No financial details were reported .,neutral,financial details reported .,36,28,0.2222222222222222
Nordea will coordinate the syndicated loan .,neutral,nordea coordinate syndicated loan .,44,35,0.20454545454545456
