text,sentiment
"seventy-three of those also have more extensive training in products built on the latest archestra technologies , such as the wonderware system platform .",neutral
"the order includes a log handling line , peeling line and drying line for the production of parquet base layer veneer for plyfa s hassela mill , central sweden .",neutral
"exports of goods fell by num % , and imports by num % .",negative
$tsla recall,negative
locked in some $fb puts for nice gain,negative
"supported nokia phones include n96 , n95-8gb , n95 , n93-n931 , n92 , n85 , n82 , n81 , n80 , n79 , n78 , n77 , n76 , n75 , n73 , n72 , n71 , e90 , e71 , e70 , e66 , e65 , e62 , e61-e61i , e60 , e51 , e50 , touch xpress num , num classic , num navigator , num classic , num navigator , num , num , 5320xm .",neutral
"with this agreement , we can continue our good cooperationand at the same time release capital that has been tied up in ourmachinery operation .",positive
covered my small $mww short num for a . num loss. flat on the day. all cash now.,positive
"finnish investor scanfil oyj ( hel scf1v ) said last friday it has bought num million shares , or num % , in norwegian contract electronics manufacturer kitron asa ( osl kit ) for nok num million ( usd num m-eur num m ) .",neutral
the sale of the healthcare trade business supports oriola-kd s strategy to focus on pharmaceutical wholesale and retail businesses .,positive
$goog breakout very likely medium target $ num,positive
okmetic expects its net sales for the first half of num to be less than in num .,negative
"srv will raise its holding in the company so that by the summer of num , it will have a majority .",positive
"eqt has completed its exit from salcomp , a finnish company that makes mobile phone chargers , by selling its remaining stake to swedish investment group nordstjernan for about ( euro ) num million ( $ num million ) .",neutral
"companiesandmarkets.com provides a wide range of research reports , industry statistics and competitive intelligence on the industrial sector .",neutral
"the development of the technological park , which will specialize in telecommunications and information technologies , is part of the state program for the formation of technoparks for hi-tech sectors in russia .",neutral
the company will make its marketing and sales investments initiated in num even more efficient in num .,positive
"net cash flow from operating activities was a negative eur num mn , compared to eur num mn in the corresponding period in num .",negative
"the second company acquired is sweden s reftele maskinservice ab , whose business is mainly field services and spare parts manufacturing , with num employees and num mln eur sales a year .",neutral
"paper company m-real calculated that if num , num biscuit cartons are made using a 25gsm lighter board , the co2 saved over the course of num months would be equal to that generated by driving num , num km by car .",neutral
"m-real corporation stock exchange release num august num at num pm m-real has received the eur num million cash payment from sappi m-real corporation , a part of mets ñliitto group , divested its graphic papers business to sappi limited at the end of num for eur num million .",neutral
cramo group s financial targets for num - num are sales growth higher than num percent per year return on equity above num percent .,positive
"subscribers can browse free numbers with their handset , and select the numbers , packages and services they prefer when activating the phone .",neutral
"national conciliator juhani salonius , who met both parties on wednesday , said they were too far apart in their views for him to propose mediation .",negative
"earnings per share ( eps ) for the first quarter num amounted to eur0 . num , up from eur0 . num .",positive
it includes options for additional num communal building sites as well as construction supervision works for all construction sites .,neutral
"the new system , which will include num mc3090 pdas from motorola , to be used by num poundstretcher operatives across num shifts , will integrate in real-time with the company s existing warehouse management system , aldata g.o.l.d stock , which went live in may num .",neutral
"dealers said the share was largely hit by investor disappointment about a refining margin of just num usd per barrel for the quarter and the performance of its shipping unit , which saw ebit drop to num mln eur from num mln eur a year amid a fall in volumes and tanker rates .",neutral
"the num - num joint venture , to be called nokia siemens networks , will be comprised of nokia s network business group and siemens carrier-related operations , creating estimated synergies of num billion euros ( $ num billion ) by num , nokia said .",positive
"these tests are part of a larger campaign which includes various customer trials and demonstrations to make lte on num mhz commercially viable by this summer , nokia siemens head of lte business line , reino tammela , said .",neutral
$endp being sued by ftc.....nobody will buy them with that hanging over their heads,negative
"the payment of num million litas in interest on a long-term loan provided by ragutis majority shareholder , estonia s a. le coq , also added to the losses .",negative
assa abloy kaupthing bank gave a neutral recommendation and a share price target of num crowns $ num - num euro on swedish lock maker assa abloy ab .,neutral
"the brazilian unit of finnish security solutions provider f-secure signed up num , num new clients last year , online news source reseller web quoted the division s commercial director , vladimir brand úo , as saying .",positive
"the group owns and operates a fleet of more than 800dwt , while container capacity is num , num teus , and manages a diversified fleet of its own railway rolling stock of over num , num units .",neutral
like $t for a breakout long as well. getting through the num and num ma could see it run.,positive
tesco abandons video-streaming ambitions in blinkbox sale,negative
$aapl iphone shipments on track to exceed forecasts - marketwatch,positive
image data produced by the browser at the phone server is converted into a bitmapped image that is sent to the handset for display .,neutral
"pretax profit totaled eur num mn , down from eur num mn in num .",negative
"with this acquisition the wireless modem unit and its approximately num , num employees were transferred to renesas electronics corporation .",neutral
operating profit excluding non-recurring items increased by num % to eur num mn from eur num mn in the corresponding period in num .,positive
"alexandria , va. , may num -- matti harkonen and pentti sipponen , both of espoo , finland , osmo suovaniemi of helsinki , finland , and tapani tiusanen of vantaa , finland , have developed a paper web press device .",neutral
"the equipment ixonos acquires with this deal includes mechanical engineering hardware an rf and antenna measurement laboratory facilities for the measurement of audio , cameras and displays as well as devices and robot units for the testing of mobile devices .",neutral
finnish silicon wafers manufacturer okmetic oyj said it swung to a net profit of num mln euro $ num mln in the first nine months of num from a net loss of num mln euro $ num mln a year earlier .,positive
sales by seppala diminished by num per cent .,negative
"finnair s tallinn-based subsidiary , aero as , carried num , num passengers , a decline of num % , on routes between helsinki and the baltic capitals and within southern finland .",neutral
ab inbev attacks sabmiller bid rebuffal,negative
london marketwatch -- share prices ended lower in london monday as a rebound in bank stocks failed to offset broader weakness for the ftse num .,negative
tele2 affarsvarlden gave a buy recommendation on mobile operator tele2 ab and a share price target of num crowns ( $ num - num euro ) .,positive
"previously , the company anticipated its operating profit to improve over the same period .",positive
the transactions would increase earnings per share in the first quarter by some eur0 . num .,positive
"the broker started upm-kymmene , stora enso and sappi with equal-weight recommendations and holmen and norske skog with underweight ratings .",neutral
"mr. mikko saavalainen , head of comptel s global sales concludes gibtelecom provides a perfect illustration of the variety of business , technical and regulatory challenges operators are facing in their oss today .",neutral
"unbelievably , the company that makes them - fiskars corporation - was formed in num when a dutch merchant named peter thorwoste was given a charter to establish a blast furnace and forging operation in the small finnish village of fiskars .",neutral
"the pulp production in finnish kemij ñrvi will also be liquidated and about num , num employees loose their jobs .",negative
gakrum nice chart shows distinctive down channel not a dip.. where do you see the bottom $spy ..$ num ..$ num,negative
changes to the as-built models from the design were communicated to the subcontractors to accommodate them into the steel and grc fabrication process .,neutral
"( adp news ) - nov num , num - finnish electronic measurement products and solutions maker vaisala oyj ( omx vaias ) said today that its net profit rose to eur num million ( usd num m ) for the first nine months of num from eur num",positive
"the floor area of the yliopistonrinne project will be num , num sq m num , num sq ft and the building s gross area will total num , num sq m. a total num % of the facilities have been let .",neutral
"net sales totaled eur num mn , up from eur num mn in the corresponding period in num .",positive
"sudden optimism about iphone sales (i.e., not as bad as expected) gives apple $aapl a lift.",positive
"kesko s car import and retailing business , vv-auto , saw sales grow by num pct .",positive
"in the first nine months of num , the company s net loss narrowed to eur415 , num from eur7 . num m for the corresponding period of num .",positive
"num p.m. central office of nordea bank num num -ya ulitsa yamskogo polya , building num telephone num num - num - num ext. num , num num . num unimilk - egm num - num . num xvi international business-summit food business russia num will take place .",neutral
"dealers said the share was largely hit by investor disappointment about a refining margin of just num usd per barrel for the quarter and the performance of its shipping unit , which saw ebit drop to num mln eur from num mln eur a year amid a fall in volumes and tanker rates .",negative
"eero katajavuori , currently group vice president , human resources , will take a year-long sabbatical starting from october num , num .",neutral
"incap contract manufacturing services pvt ltd , a subsidiary of incap corporation of finland , is acquiring the manufacturing unit of the tvs electronic ltd at tumkur , near bangalore , for rs40 crore .",neutral
$gld on closer inspection. resistance num points north at 200d and downward trendline. chart num of num .,negative
"$aapl is now beaten down, hated, etc. hhhmm opposite of num what happens next",negative
"chs expo freight is a major finnish fair , exhibition and culture logistics company that provides logistics services to various events by land , air and sea .",neutral
"the firm s services include copying , printing , cad-modelling , digital printing , scanning , sokopro project bank and courier services .",neutral
"these include software development for internet and mobile telephone content , communications , value-added software , financial services , security applications , systems integration and electronics , ebrd informed .",neutral
"advertising and circulation revenues grew by num % and by num % , respectively .",positive
num october num - finnish paints and coatings company tikkurila oyj hel tik1v announced today the launch of tikkurila prohouse method for protection of wooden surfaces via treatment with ultra pro waterborne products .,neutral
"really surprised by how much $fb has now fallen. thought there d be some support around the 50d, but i guess not.",negative
"citigroup , inc ( nyse c ) has announced that its global transaction services ( gts ) business has been awarded a new mandate by finland-based pohjola bank group .",positive
"$p bull flag on the daily, earnings on the table tomorrow - num move.will straddle this one into earnings..lots of vol guaranteed here",positive
the energy-efficient data center will be built by combining an effective energy solution with state-of-the-art technology .,positive
"the transaction strengthens our position ... in design and branded goods , said fiskars president and ceo heikki allonen , pointing out that the two groups have relatively few overlapping operations .",positive
"within the framework of the partnership , nokia siemens networks has signed an initial framework purchase agreement with sitronics subsidiary , jsc mikron , which is the largest manufacturer and exporter of microelectronic components in russia .",positive
"operating profit for the num -month period decreased from eur157 . num m , while net sales increased from eur634 . num m , as compared to num .",negative
talktalk hires bae systems to investigate cyber attack,negative
the company reported today an operating loss of eur0 . num m on net sales of eur4 . num m for the first quarter num .,negative
"other measures included increasing synergies and economies of scale within the grimaldi group and personnel adjustments , divestments and redelivery of excess tonnage .",neutral
"poyry plccompany announcement num december num at num p.m. pursuant to poyry plc s stock option program num , num num new shares of the company have been subscribed since num october num with stock options 2004b .",neutral
"we are delighted to welcome elisa to our board of directors , said garry mcguire , ceo of rmg networks .",positive
"the shares shall be repurchased through public trading , for which reason the shares are repurchased otherwise than in proportion to the holdings of the shareholders .",neutral
"several large stocks tacked lower , however .",negative
chief financial officer jim heindlmeyer said beyond oblivion is in advanced talks with the four major recording companies about its service .,neutral
"salcomp oyj , the finnish maker of mobile phone chargers , monday posted a eur1 . num million loss in the second quarter compared with a num million profit in the same period the previous year .",negative
"operating profit for the nine-month period decreased from eur19 . num m while net sales increased from eur155 . num m , as compared to the corresponding period in num .",neutral
"for the last quarter of num , componenta s net sales doubled to eur131m from eur76m for the same period a year earlier , while it moved to a zero pre-tax profit from a pre-tax loss of eur7m .",positive
"in a note to clients published , the dutch broker described the company s third quarter results as soft , although it also noted that elcoteq retained its guidance , dealers said .",neutral
operating profit decreased to eur 16mn from eur num mn in num .,negative
"samsung currently occupies third place and lost ground during the quarter , dropping by num % to an num % share overall .",negative
"finnish construction group yit has been awarded a contract to install heating , air conditioning and cooling systems to the new head office of the automobile association adac in munich in germany .",positive
one of the largest projects of the magazine division of sanomawsoy - sanoma magazines international in num became launch of the russian magazine gloriya .,neutral
"finnish food workers union sel plans to hasten its collective bargaining with a two-day strike that would begin on num april num , in finland .",negative
calls to the switchboard and directory services have decreased significantly since our employees now have up-to-date contact information from all their colleagues and customers on their phone and can place the call directly .,neutral
production at the plant will be based on neste oil s proprietary technology that can use a flexible input of any vegetable oil or animal fat .,neutral
"finnish financial group aktia reports operating profit of eur num mn in january-september num , up from eur num mn in the corresponding period in num .",positive
"operating result , excluding one-off items , totaled eur num mn compared to eur num mn in continuing operations , excluding one-off items in num .",neutral
"the market share of volkswagen passenger cars in finland was num percent , audi had a market share of num percent and seat s share was num percent .",neutral
"in q2 of num , profit before taxes amounted to eur num mn , down from eur num mn in q2 of num .",negative
aviva fined $ num million by u.k. regulator over fee failings,negative
"( adp news ) - feb num , num - finnish broadband data communication systems and solutions company teleste oyj ( hel tlt1v ) said today its net profit decreased to eur num million ( usd num m ) for num from eur num million for num",negative
"crucially , the decision to use etsi ( european telecommunication standard institute ) - backed dvb-h adds to the growing list of operators and equipment manufacturers opting for the standard ( see global num january num competing technologies vie for mobile tv ) .",neutral
"adpnews - aug num , num - finnish media group ilkka-yhtyma oyj hel ilk2s said today its net profit fell num % on the year to eur num million usd num m in the first half of num .",negative
finnish glass technology group glaston corporation ( omx helsinki gla1v ) reported on thursday ( num august ) an operating profit of eur6 . num m on net sales of eur201 . num m for the period january-september num .,neutral
"the address location is provided to a local controller , preferably by wireless transmission , which then uses the address location to access the appliance control module .",neutral
the company aims to maintain this trend in profitability during the current year .,positive
yit construction and the town of riihim ñki have signed a lease contract whereby the town will occupy the travel centre office facilities .,positive
the real estate company posted a net loss of ó x201a -¼ num million ó x201a -¼ num per share compared with a net profit of ó x201a -¼ num million ó x201a -¼ num per share for the corresponding quarter of num .,negative
"the segments through which the company operates are frozen food business , seafoods , vegetable oil business , grain trading and other business operations .",neutral
"num february num - finnish broadband data communication systems provider teleste oyj hel tlt1v said yesterday its net profit rocketed to eur4 . num m in num from eur416 , num in num and it lifted its dividend proposal .",positive
in finland finnish pharmaceutical company orion corporation omx helsinki ornav said on wednesday num january that it has concluded its personnel negotiations in finland and will reduce the number of personnel by num .,negative
finnish metal industry solutions supplier outotec oyj net profit rose to num mln euro ( $ num mln ) for the first nine months of num from num mln euro ( $ num mln ) for the same period of num .,positive
"the company also appointed leif rosen head of the special plate unit which includes the quarto plate units in degerfors , sweden , and new castle , usa , the unit in willich , germany , as well as pressplate and prefab in avesta and plate service centre nordic in degerfors .",neutral
"complete name of shareholder otto henrik bernhard nyberg for further information , please contact maija-liisa friman , ceo , tel. num num num num .",neutral
"we are delighted to announce our support for intel based handheld platforms , the capabilities of which have made our development easier and faster .",positive
kone shares dropped num percent to x20ac num us$ num in helsinki .,negative
$spy extreme win today - num cents above num low on num -year and $spy up num percent - life is a bowl of cherries - great short setting up $$,negative
$awr standard poor s affirms a credit rating at american states water company and golden state water company,positive
"the negotiation has resulted in the reduction of num people in regular employment , around half of which will be covered with pension arrangements .",negative
"net sales of kyro s main business area , glaston technologies , a manufacturer of glass processing machines , decreased to eur num mn from eur num mn in january-september num .",neutral
our superior customer centricity and expertise in digital services set us apart from our competitors .,positive
it also said its third quarter diluted eps came in at num eur compared with num eur in the same quarter a year ago .,positive
"eur928 , num in q1 num num may num - finnish textile and clothing design company marimekko oyj ( hel mmo1v ) said today its net profit rose to eur928 , num in the first quarter of num from eur13 , num in the corresponding period a year earlier .",positive
the company also said that in poland a profitability program has been launched at the oborniki steel frame and sandwich panel plant .,positive
$fb down num % from this #bearish pattern. considering the #bullish sentiment - that s an impressive bearish move,negative
"the period-end cash and cash equivalents totaled eur6 . num m , compared to eur10 . num m in the previous year .",negative
down to eur5 . num m h1 num num august num - finnish media group ilkka-yhtyma oyj ( hel ilk2s ) said today its net profit fell num % on the year to eur5 . num m in the first half of num .,negative
finnish sports equipment maker amer sports oyj ( hel ameas ) said today that its net loss narrowed to eur num million ( usd num m ) in the second quarter of num from eur num million in the corresponding period a year earlier .,positive
"according to viking line s managing director , nils-erik eklund , the company s board of directors is very satisfied with viking line s performance .",positive
g4s slides on balance sheet worries,negative
$renn topping tail num min. chart at num short from here.,negative
"$sds num % num , picking up some speed. may num calls now num % . num next week $ num calls .11c",positive
"back then , tikkurila s former owner , finnish chemicals company kemira oyj hel kra1v , distributed an num % stake to kemira shareholders to facilitate the divestment and listing of tikkurila .",neutral
finnish operator elisa and aker yards have signed a long-term service deal through which elisa will deliver all necessary voice and data services for aker yards in finland .,positive
here come the shorts marchin in. $gmcr. lovin it,negative
operating profit fell to eur num mn from eur num mn in num .,negative
"operating profit totaled eur num mn , down from eur num mn in the corresponding period in num .",negative
"net interest income totaled eur num mn , compared to eur num mn a year earlier .",positive
"finnair s passenger load factor , which measures the number of sold seats as a share of all available seats , dropped by num percentage points to num % in september .",neutral
tesco share price tumbles after negative broker note,negative
"france t l com spent more time studying teliasonera than other potential takeover targets because it has a shareholder that wants to sell , pellissier said .",neutral
"dolce gabbana has asked the european union to declare marimekko corporation s unikko floral pattern trademark invalid , in a continuing dispute between the two companies .",negative
"both operating profit and net sales for the nine-month period increased , respectively by num % and num % , as compared to the corresponding period in num .",positive
"capacity will ease at its seikku sawmill in pori and alholma sawmill in pietarsaari and result in num people being laid off for around six weeks starting mid-may , it said .",negative
"sysopen digia plc , press release , num february num ibm finland has rewarded its most distinguished partner companies for num .",positive
"$cndo num % short float, shorts likely to take profits into close",negative
"upside moves in the volatile #mining sector, sending anglo american plc $aal up num % as of num num pm, london time",positive
"finnish electronics manufacturing services company elcoteq signing a cooperation agreement with a japanese mobile phone manufacturer , bypasses elcoteq tallinn , says jan kotka , ceo of elcoteq tallinn .",positive
"sharkbiotech if anyone is selling shorting $agn b c you believe $endp rumors to be realistic, then i ll take the other side of that trade",positive
"a total eur73 . num m will be provided as secured senior three-year debt from the syndicate , involving pohjola bank hel poh1s , the finnish arm of nordea bank ab sto nda , and sampo bank hel samas .",neutral
finnish metal products company componenta oyj net profit went slightly down to num mln euro ( $ num mln ) for the first half of num from num mln euro ( $ num mln ) for the same period of num .,negative
our research shows that access to information technology has been one of the limiting factors for most small businesses especially when they work in a heterogenous network based environment .,neutral
"okmetic has a global customer base and sales network , production plants in finland and the us and contract manufacturers in japan and china .",neutral
finnish lifting equipment maker konecranes hel kcr1v said on num july num it has raised its stake in austrian manipulator maker acs konecranes to num % and bought german sector player knight europe .,positive
"$nflx small pos, short num wkly puts.",negative
"according to the latvian business register , uponor latvia closed in red with lvl num , num eur num , num usd num , num on turnover of lvl num mn for num .",neutral
"the company said that the operations will be sold to a newly established company , cps gmbh , where the present management of the plastics business is a co-owner .",neutral
$gdx $gdxj $jnug - strong move today for the junior gold miners - keep an eye out for a gap fill -,positive
"according to swedish authorities , traces of the very toxic osmium tetroxide have been found on the coast of per ñmeri , the northernmost part of the gulf of bothnia .",negative
"for the current year , raute expects its net sales to increase and the operating result -- to be positive .",positive
microsoft joins the open-source eclipse foundation focus on collaboration open business is a smart strategy $msft,positive
"we can choose the most efficient , best overall value option for our customers already at the bidding stage .",positive
the subsidiary is setting up a facility for manufacturing high-density interconnection printed circuit boards or pcbs at nokia s special economic zone at sriperumbudur near chennai .,neutral
"tieto in latvia is represented by it services companies tietoenator alise and tietoenator , which has operations in the industries of financial services cards , retail and logistics and it outsourcing and managed services .",neutral
"the result will also be burdened by increased fixed costs associated with operations in china , and restructuring costs in japan .",negative
"rt joemccann the correleation between the dollar index and $spy is simply amazing. $dx finds support, $spy retreats like clockwork",negative
"the reorganisation will be carried out by transferring hkscan corporation s production-related property , plant and equipment in finland as well as its holdings in subsidiaries and associates to hkscan finland oy , a holding company wholly owned by hkscan corporation .",neutral
finnish food company raisio oyj hel raivv said on friday it has wrapped up the divestment of its margarine operations to us sector player bunge ltd nyse bg for eur80m usd119 . num m .,neutral
"a total of num , num new citycon shares with a nominal value of eur num per share were subscribed in december exercising the a-b-c options based on the company s stock option plan num .",neutral
"$csx is up today to report. wall street is expecting eps to be at $ num , and revenues at $ num ,732b.",positive
"finnish plumbing and heating systems supplier uponor s net sales in continuing business operations decreased to eur num mn in july-september num , compared to eur num mn in the third quarter of num .",neutral
"capman has six investment areas capman buyout , capman technology , capman life science , capman russia , capman public market and capman real estate , and each of them has a dedicated team and funds .",neutral
under this agreement biohit becomes a focus supplier of pipettors and disposable pipettor tips to vwr customers throughout europe .,positive
the airline s share price closed down slightly at ( x20ac ) num ( $ 15us . num ) in helsinki .,negative
$trow ascending triangle gives a bullish bias to this chart. breakout above num will be positive,positive
rt street_insider the steve jobs effect apple $aapl first day iphone 4s sales were off the charts,positive
"finnish exel composites , a technology company that designs , manufactures , and markets composite profiles and tubes for various industrial applications , reports its net sales decreased by num % in the second quarter of num to eur num mn from eur num mn in the corresponding period in num .",neutral
$ddd 3d systems (ddd) stock receives ratings downgrade today at jefferies,negative
"aspo plc stock exchange announcement may num , num at num num a.m. an increase in the share capital of aspo plc totaling eur num , num was registered today .",positive
num block lamp harri koskinen s light was introduced in num and has been a bestseller ever since .,positive
finnish consumer packaging manufacturer huhtamaki oyj said it swung to a net profit of num mln euro $ num mln in the first nine months of num from a net loss of num mln euro $ num mln in the same period of num .,positive
"in the newly formed company yit stavo the local contact network , expertise and market know how of euro stavokonsult will be combined with yit s housing concept , said juha kostiainen , yit s vice president , corporate communications and business development .",positive
"finnish exel composites , a technology company that designs , manufactures , and markets composite profiles and tubes for various industrial applications , reports its net sales decreased by num % in the second quarter of num to eur num mn from eur num mn in the corresponding period in num .",negative
today the orange scissors are the iconic symbol of the excellent ergonomic design and superior quality associated with every product from fiskars .,neutral
facebook $fb received a buy rating from wells fargo num -star analyst peter stabler (wells fargo),positive
the company turned to earnings per share ( eps ) of eur num versus loss per share of eur num .,positive
"since the association s data do not cover sales figures from about num small local breweries and sales of imported beer products , the actual market shares of its members are smaller than those given in the report .",negative
operating profit fell to eur num mn from eur num mn .,negative
"demand seems to have hit bottom now , and some signs of improvement can be seen .",positive
"nokia siemens networks provides mobile and fixed network infrastructure , communications and networks service platforms , as well as professional services , to operators and service providers .",neutral
"the company reported a profit of num , num euro ($ num mln)on the sale of its varesvuo partners sub-group and a loss of num , num euro $ num , num caused by the sale of its program production subsidiary oy filmiteollisuus fine ab .",neutral
"kaleva kustannus oy ( business id num - num ) has , according to its notice , on num august num acquired num , num , num alma media shares .",neutral
the additional flight linking mumbai with helsinki was dictated by the strong traffic demand between asia and europe .,positive
finnish cargotec s kalmar has received a significant order from the us department of defense .,positive
"$amrn full bull call spread ranging july to jan num . lets see what this baby does,",positive
"( adpnews ) - oct num , num - finland-based it consultancy tieto oyj ( hel tie1v ) said today its net profit plunged to eur num million ( usd num m ) for the first nine months of num from eur num million for the same period o",neutral
$wx decent pull back . .,negative
"operating loss totalled eur num mn , compared to a loss of eur num mn in the corresponding period in num - num .",negative
"( adp news ) - feb num , num - finnish broadband data communication systems and solutions company teleste oyj ( hel tlt1v ) said today its net profit decreased to eur num million ( usd num m ) for num from eur num million for num",neutral
two of these contracts are for turntable anode vibrocompactors that will be delivered to gansu hualu aluminum co ltd and another unnamed costumer .,neutral
"after the takeover , cramo will become the second largest rental services provider in the latvian market .",positive
"casinos red before the bell $lvs - num %, $wynn - num %, $wynn - num % unusual comibinations of what s running, what s red before the bell",negative
$hcp come to the party and buy this -gonna give solid gains and a dividend $$$$$$,positive
itv share price jumps on report of comcast s nbcuniversal bidding to takeover ...,positive
"finnish suominen flexible packaging is cutting num jobs in its unit in tampere and two in nastola , in finland .",negative
that bearish outside day tuesday is significant. num day resistance still intact. just my opinion $sds,negative
$spy tomorrow party time for the bears $goog and $msft - num %,negative
"finnish financial software solutions developer basware oyj said its net profit fell to num , num euro ( $ num mln ) for the first quarter of num from num mln euro ( $ num mln ) a year earlier .",neutral
"paper companies were in negative territories , with stora enso r shedding num pct to num eur , upm-kymmene down num pct at num eur and m-real b num pct lower at num eur .",neutral
"fl group s private equity division manages all operating companies , including icelandair group , fl travel group , bluebird and sterling .",neutral
- moody s said it gave p a1 long-term senior unsecured and p p- num short-term debt ratings to finnish lender aktia bank s eur1bn usd1 . num bn euro medium-term note emtn program of num march num .,neutral
"capacity will ease at its seikku sawmill in pori and alholma sawmill in pietarsaari and result in num people being laid off for around six weeks starting mid-may , it said .",neutral
"in the baltic states the company reports net sales of eur num mn , down from eur num mn , and an operative ebit of eur - num mn , down from eur - num mn .",neutral
"furthermore , sales of new passenger cars and light commercial vehicles in the country declined by num % year-on-year last month .",negative
"adpnews - sep num , num - finnish silicon wafers maker okmetic oyj hel okm1v said it will reduce the number of its clerical workers by num worldwide as a result of personnel negotiations completed today .",neutral
"this contract demonstrates our ability to apply our minerals and metals technologies in adjacent industries , such as oil shale processing .",positive
"adp news - nov num , num - finnish retail software developer aldata solution oyj omx ald1v said today that it swung to a net profit of eur num million usd num m for the first nine months of num versus a net loss of eu",positive
finnish fibers and plastic products maker suominen corporation said its net loss from continuing operations narrowed to num mln euro ( $ num mln ) in num from num mln euro ( $ num mln ) in num .,positive
"rosendal at outotec.com eila paatela , vice president - corporate communications tel. num num num num , num num num e-mail eila .",neutral
"u.k. stocks little changed near record as barclays, shell fall",negative
it also turned to earnings per share ( eps ) of eur num versus loss per share of eur num .,positive
"finnish electronics contract maker incap oyj said on january num , num it sold its manufacturing facilities in helsinki to local real estate company sponda oyj for num mln euro ( $ num mln ) .",neutral
"the sale will result in a capital loss of eur5m for solidium , which obtained tikkurila shares in march num .",negative
$tsla stock gaining steam... plus other notable moves from this week,positive
"rt joemccann the correleation between the dollar index and $spy is simply amazing. $dx finds support, $spy retreats like clockwork",negative
$gps gap september comparable store sales - num %,negative
"the announcement pushed freenet shares down num % , or eur0 . num , in frankfurt trade to eur10 . num as investors gave up hope united internet ag and drillisch would pursue their own takeover and breakup of freenet .",neutral
reed elsevier share price slides on underwhelming full-year results,negative
"okmetic s products are based on high-tech expertise that generates added value for customers , innovative product development and an extremely efficient production process .",positive
operating profit fell from eur num mn in the second quarter of num to eur num mn in the second quarter of num .,negative
$acom downside breakout looks to be coming soon.,negative
